iter	MultiClass
166	0.1135031766
167	0.1133846401
168	0.1131482471
169	0.1130609887
170	0.1130034082
171	0.1128855039
172	0.1128246155
173	0.1126818031
174	0.112561051
175	0.1124667046
176	0.1123916558
177	0.1121863286
178	0.1120705446
179	0.1119446588
180	0.1118585535
181	0.1117311796
182	0.111614902
183	0.1115297637
184	0.1114396939
185	0.1112932731
186	0.1111025816
187	0.1109808051
188	0.1108141261
189	0.1107272628
190	0.1106775285
191	0.1106327719
192	0.1105129793
193	0.1104410944
194	0.1103763842
195	0.1103347353
196	0.1101453298
197	0.1100534469
198	0.1099891251
199	0.1098813572
200	0.1098188428
201	0.1097465535
202	0.109628287
203	0.109566481
204	0.109471496
205	0.1094136453
206	0.1093577103
207	0.1092642145
208	0.1092095461
209	0.1091553221
210	0.1090294335
211	0.1089482836
212	0.1088061084
213	0.1087321536
214	0.1086075884
215	0.108503558
216	0.1084404011
217	0.1083853693
218	0.1083039703
219	0.1082076821
220	0.1081562903
221	0.1080161844
222	0.1077878974
223	0.107729216
224	0.1076803144
225	0.1076145991
226	0.1075189291
227	0.1074413288
228	0.107334374
229	0.1072791417
230	0.1072086355
231	0.107136697
232	0.1070832032
233	0.1070366978
234	0.1068942371
235	0.1068424005
236	0.1067137316
237	0.106610806
238	0.1065517444
239	0.1064958462
240	0.1064334879
241	0.1063830389
242	0.1062739199
243	0.1061555786
244	0.1061170921
245	0.1060590813
246	0.1059988203
247	0.1059418205
248	0.1059034617
249	0.1058195421
250	0.1056578907
251	0.1056148184
252	0.1055771978
253	0.1055261489
254	0.1054193927
255	0.1053707246
256	0.1053257186
257	0.1052620577
258	0.1052167165
259	0.1051738672
260	0.1051237947
261	0.1050267892
262	0.1049819385
263	0.104867399
264	0.10476192
265	0.1046799168
266	0.1046004678
267	0.1044603124
268	0.104413084
269	0.104312722
270	0.1042233059
271	0.1041592554
272	0.1040866503
273	0.1040395776
274	0.1039190301
275	0.1038408119
276	0.1037472268
277	0.1037037607
278	0.103666942
279	0.1035285282
280	0.103481068
281	0.1033937472
282	0.1033094316
283	0.1032846884
284	0.1032460228
285	0.103139639
286	0.1030963455
287	0.1030609683
288	0.1029992029
289	0.102951362
290	0.1028961458
291	0.1028499916
292	0.1028107657
293	0.1027536999
294	0.1027147822
295	0.1026820485
296	0.102638273
297	0.1026179524
298	0.1025800862
299	0.1025083373
300	0.1024570575
301	0.1024100676
302	0.1023732633
303	0.1023245707
304	0.1022883483
305	0.1022005794
306	0.1021654725
307	0.1021134262
308	0.1020359174
309	0.1019772436
310	0.1019405859
311	0.1019168965
312	0.1018800419
313	0.1018384086
314	0.1017933132
315	0.1017541193
316	0.1017093691
317	0.1016786694
318	0.1016178632
319	0.1015891469
320	0.1014894526
321	0.1014455129
322	0.1014217184
323	0.1013972117
324	0.1013688151
325	0.1013364421
326	0.1012950299
327	0.1012628909
328	0.1012314873
329	0.101194356
330	0.1011603631
331	0.1011067593
332	0.1010770512
333	0.1010156664
334	0.1009939048
335	0.1009507813
336	0.1009008724
337	0.1008821003
338	0.10085494
339	0.100824717
340	0.1007995345
