iter	MultiClass
0	1.016917391
1	0.9466283514
2	0.883623431
3	0.8284134221
4	0.778741981
5	0.734293463
6	0.6940263913
7	0.6570940277
8	0.6234274159
9	0.5926622372
10	0.564154621
11	0.5379290266
12	0.5134097253
13	0.490911492
14	0.4701310067
15	0.4509642301
16	0.4328616371
17	0.4160930727
18	0.4003673715
19	0.3856763264
20	0.3717429639
21	0.3588477036
22	0.3466636681
23	0.3351430874
24	0.3243402698
25	0.3140780945
26	0.3044174887
27	0.2954795213
28	0.2869487423
29	0.278913539
30	0.2713429494
31	0.2641966326
32	0.2575523856
33	0.251124589
34	0.2451162992
35	0.2394083416
36	0.2338901345
37	0.2286701879
38	0.2236687118
39	0.2189618752
40	0.2145180431
41	0.2102639202
42	0.2062389105
43	0.2024089489
44	0.1988147031
45	0.1953049643
46	0.1919938245
47	0.1891419626
48	0.1861602804
49	0.1833657627
50	0.1807141924
51	0.1782291097
52	0.1759497497
53	0.1735349986
54	0.1712258507
55	0.1690419825
56	0.1671205064
57	0.1652235309
58	0.163394338
59	0.1616863239
60	0.1600670334
61	0.1585562412
62	0.1571187742
63	0.1555550669
64	0.1543222122
65	0.1530644685
66	0.151732587
67	0.15047139
68	0.149184237
69	0.1481105707
70	0.1470623797
71	0.1459081128
72	0.1450141598
73	0.1439602136
74	0.143212448
75	0.1424708799
76	0.141528299
77	0.1406690522
78	0.1399749225
79	0.1391266607
80	0.1384265193
81	0.1374809637
82	0.1369127606
83	0.1361529496
84	0.1354280354
85	0.1348553801
86	0.1341775634
87	0.1335358189
88	0.1330222915
89	0.1325284956
90	0.1320227506
91	0.1315716071
92	0.1309828873
93	0.1305740437
94	0.1301546103
95	0.1296425449
96	0.1291818242
97	0.1287165523
98	0.1283615655
99	0.127937328
100	0.1274911915
101	0.1268768153
102	0.1265987682
103	0.1261801556
104	0.1258408704
105	0.1255377826
106	0.1252605614
107	0.1249576591
108	0.1246834546
109	0.1244028213
110	0.1240464722
111	0.123722107
112	0.1233663593
113	0.1230816059
114	0.1228878336
115	0.1225961405
116	0.1223279649
117	0.1220302053
118	0.1218332516
119	0.1216058694
120	0.1214496272
121	0.1212631368
122	0.1210012673
123	0.1207717599
124	0.1205755774
125	0.1203934461
126	0.1200392218
127	0.1198271856
128	0.1196528134
129	0.1194001298
130	0.1191799772
131	0.1189980886
132	0.1188223512
133	0.1186779316
134	0.1185013955
135	0.1183422096
136	0.1180986902
137	0.1178408513
138	0.1175285354
139	0.1173925508
140	0.1172680039
141	0.1171443741
142	0.117015196
143	0.1168713988
144	0.1166474191
145	0.1165230594
146	0.1163871707
147	0.1162470554
148	0.1161322878
149	0.1160166572
150	0.1158977357
151	0.1157716757
152	0.1155889863
153	0.1153986573
154	0.1150558628
155	0.1149747086
156	0.1148646616
157	0.1147320274
158	0.1145833694
159	0.1143402879
160	0.114268525
161	0.1141738139
162	0.1140678821
163	0.1139640267
164	0.1138742748
165	0.1136046863
